Filename,Roll No,Total Score
image (1).tif,4141,0
image (10).tif,4141,0
image (100).tif,4141,0
image (11).tif,4141,0
image (12).tif,4141,0
image (13).tif,4141,8.0
image (14).tif,4141,0
image (15).tif,4141,0
image (16).tif,4141,0
image (17).tif,4141,0
image (18).tif,4141,0
image (19).tif,4141,0
image (2).tif,4141,8.0
image (20).tif,4141,0
image (21).tif,4141,0
image (22).tif,4141,0
image (23).tif,4141,0
image (24).tif,4141,0
image (25).tif,4141,0
image (26).tif,4141,0
image (27).tif,4141,0
image (28).tif,4141,0
image (29).tif,4141,0
image (3).tif,4141,4.0
image (30).tif,4141,0
image (31).tif,4141,0
image (32).tif,4141,0
image (33).tif,4141,0
image (34).tif,4141,0
image (35).tif,4141,0
image (36).tif,4141,0
image (37).tif,4141,0
image (38).tif,4141,0
image (39).tif,4141,0
image (4).tif,4141,4.0
image (40).tif,4141,0
image (41).tif,4141,0
image (42).tif,4141,0
image (43).tif,4141,0
image (44).tif,4141,0
image (45).tif,4141,0
image (46).tif,4141,0
image (47).tif,4141,0
image (48).tif,4141,0
image (49).tif,4141,0
image (5).tif,4141,0
image (50).tif,4141,0
image (51).tif,4141,0
image (52).tif,4141,0
image (53).tif,4141,0
image (54).tif,4141,0
image (55).tif,4141,0
image (56).tif,4141,0
image (57).tif,4141,0
image (58).tif,4141,8.0
image (59).tif,4141,4.0
image (6).tif,4141,0
image (60).tif,4141,0
image (61).tif,4141,0
image (62).tif,4141,4.0
image (63).tif,4141,0
image (64).tif,4141,0
image (65).tif,4141,0
image (66).tif,4141,0
image (67).tif,4141,0
image (68).tif,4141,4.0
image (69).tif,4141,0
image (7).tif,4141,0
image (70).tif,4141,4.0
image (71).tif,4141,0
image (72).tif,4141,0
image (73).tif,4141,0
image (74).tif,4141,0
image (75).tif,4141,0
image (76).tif,4141,0
image (77).tif,4141,0
image (78).tif,4141,0
image (79).tif,4141,0
image (8).tif,4141,0
image (80).tif,4141,0
image (81).tif,4141,0
image (82).tif,4141,0
image (83).tif,4141,0
image (84).tif,4141,0
image (85).tif,4141,0
image (86).tif,4141,0
image (87).tif,4141,4.0
image (88).tif,4141,0
image (89).tif,4141,0
image (9).tif,4141,0
image (90).tif,4141,0
image (91).tif,4141,0
image (92).tif,4141,0
image (93).tif,4141,0
image (94).tif,4141,4.0
image (95).tif,4141,0
image (96).tif,4141,0
image (97).tif,4141,0
image (98).tif,4141,0
image (99).tif,4141,0
image - 2025-11-28T162422.886.tif,4141,0
image - 2025-11-28T162425.107.tif,4141,0
image - 2025-11-28T162427.456.tif,4141,0
image - 2025-11-28T162429.861.tif,4141,0
image - 2025-11-28T162432.302.tif,4141,0
image - 2025-11-28T162434.811.tif,4141,8.0
image - 2025-11-28T162437.038.tif,4141,0
image - 2025-11-28T162439.789.tif,4141,0
image - 2025-11-28T162442.351.tif,4141,0
image - 2025-11-28T162444.853.tif,4141,0
image - 2025-11-28T162447.622.tif,4141,0
image - 2025-11-28T162452.001.tif,4141,0
image - 2025-11-28T162456.539.tif,4141,4.0
image - 2025-11-28T162504.038.tif,4141,0
image - 2025-11-28T162509.293.tif,4141,4.0
image - 2025-11-28T162512.024.tif,4141,0
image - 2025-11-28T162514.641.tif,4141,0
image - 2025-11-28T162517.342.tif,4141,0
image - 2025-11-28T162520.323.tif,4141,0
image - 2025-11-28T162525.330.tif,4141,0
image - 2025-11-28T162527.938.tif,4141,0
image - 2025-11-28T162531.589.tif,4141,4.0
image - 2025-11-28T162534.674.tif,4141,0
image - 2025-11-28T162537.195.tif,4141,0
image - 2025-11-28T162540.136.tif,4141,0
image - 2025-11-28T162543.203.tif,4141,0
image - 2025-11-28T162847.672.tif,4141,0
image - 2025-11-28T162850.457.tif,4141,0
image - 2025-11-28T162852.581.tif,4141,0
image - 2025-11-28T162854.689.tif,4141,0
image - 2025-11-28T162857.009.tif,4141,0
image - 2025-11-28T162859.328.tif,4141,4.0
image - 2025-11-28T162902.224.tif,4141,0
image - 2025-11-28T162904.927.tif,4141,0
image - 2025-11-28T162907.634.tif,4141,0
image - 2025-11-28T162910.163.tif,4141,0
image - 2025-11-28T162913.096.tif,4141,0
image - 2025-11-28T162916.038.tif,4141,0
image - 2025-11-28T162919.162.tif,4141,0
image - 2025-11-28T162923.214.tif,4141,0
image - 2025-11-28T162926.535.tif,4141,0
image - 2025-11-28T162929.264.tif,4141,8.0
image - 2025-11-28T162932.146.tif,4141,0
image - 2025-11-28T162936.039.tif,4141,0
image - 2025-11-28T162944.657.tif,4141,0
image - 2025-11-28T162947.469.tif,4141,0
image - 2025-11-28T162950.228.tif,4141,0
image - 2025-11-28T162953.027.tif,4141,0
image - 2025-11-28T162955.767.tif,4141,0
image - 2025-11-28T162958.887.tif,4141,0
image - 2025-11-28T163003.377.tif,4141,0
image - 2025-11-28T163006.061.tif,4141,0
image - 2025-11-28T163010.000.tif,4141,0
image.tif,4141,0
sample 1.pdf,4141,8.0
sample 3.pdf,4141,0
