ROI 0: x=55, y=1398, w=877, h=262, area=84925.5
ROI 1: x=62, y=1145, w=873, h=163, area=137772.5
ROI 2: x=67, y=179, w=360, h=861, area=267935.0
ROI 3: x=409, y=179, w=440, h=861, area=269073.5
ROI 4: x=752, y=180, w=433, h=860, area=202414.0
ROI 5: x=911, y=178, w=1263, h=1482, area=95773.0
ROI 6: x=2018, y=1487, w=156, h=173, area=6881.0

--- Bottom Half Candidates ---
Bottom Cand 0: x=2075, y=859, w=63, h=52, area=2314.5
Bottom Cand 1: x=2004, y=859, w=62, h=52, area=2300.5
Bottom Cand 2: x=1932, y=859, w=62, h=52, area=2305.0
Bottom Cand 3: x=1861, y=859, w=61, h=53, area=2290.0
Bottom Cand 4: x=1790, y=860, w=61, h=52, area=2292.0
Bottom Cand 5: x=1647, y=860, w=60, h=52, area=2293.5
Bottom Cand 6: x=1576, y=860, w=60, h=53, area=2292.0
Bottom Cand 7: x=1504, y=860, w=60, h=53, area=2297.5
Bottom Cand 8: x=1432, y=860, w=60, h=53, area=2304.5
Bottom Cand 9: x=1719, y=861, w=60, h=51, area=2258.5
Bottom Cand 10: x=1361, y=861, w=59, h=52, area=2297.0
Bottom Cand 11: x=1290, y=861, w=59, h=52, area=2288.5
Bottom Cand 12: x=1219, y=861, w=58, h=52, area=2278.0
Bottom Cand 13: x=1147, y=861, w=59, h=52, area=2286.0
Bottom Cand 14: x=2112, y=922, w=62, h=51, area=2216.0
Bottom Cand 15: x=2042, y=922, w=62, h=50, area=2209.5
Bottom Cand 16: x=1972, y=922, w=61, h=51, area=2212.0
Bottom Cand 17: x=1902, y=922, w=60, h=51, area=2201.5
Bottom Cand 18: x=1762, y=922, w=59, h=51, area=2192.5
Bottom Cand 19: x=1832, y=923, w=59, h=50, area=2130.0
Bottom Cand 20: x=1691, y=923, w=60, h=50, area=2209.5
Bottom Cand 21: x=1621, y=923, w=59, h=50, area=2192.5
Bottom Cand 22: x=1551, y=923, w=59, h=50, area=2193.5
Bottom Cand 23: x=1480, y=923, w=59, h=50, area=2205.5
Bottom Cand 24: x=1410, y=923, w=58, h=50, area=2199.0
Bottom Cand 25: x=1339, y=923, w=59, h=51, area=2206.5
Bottom Cand 26: x=1269, y=923, w=58, h=51, area=2193.0
Bottom Cand 27: x=1200, y=923, w=57, h=51, area=2178.0
Bottom Cand 28: x=1129, y=923, w=58, h=51, area=2183.5
Bottom Cand 29: x=2080, y=982, w=60, h=49, area=2122.5
Bottom Cand 30: x=2010, y=983, w=61, h=48, area=2111.0
Bottom Cand 31: x=1941, y=983, w=67, h=48, area=2147.5
Bottom Cand 32: x=1872, y=983, w=59, h=48, area=2093.5
Bottom Cand 33: x=1803, y=983, w=59, h=48, area=2091.0
Bottom Cand 34: x=1734, y=983, w=59, h=49, area=2097.5
Bottom Cand 35: x=1665, y=983, w=59, h=49, area=2116.0
Bottom Cand 36: x=1596, y=983, w=58, h=49, area=2099.5
Bottom Cand 37: x=1527, y=983, w=57, h=49, area=2095.0
Bottom Cand 38: x=1457, y=983, w=58, h=49, area=2108.5
Bottom Cand 39: x=1388, y=983, w=58, h=49, area=2111.0
Bottom Cand 40: x=1319, y=984, w=57, h=49, area=2100.5
Bottom Cand 41: x=1250, y=984, w=57, h=49, area=2091.5
Bottom Cand 42: x=1181, y=984, w=57, h=49, area=2089.5
Bottom Cand 43: x=1112, y=984, w=56, h=49, area=2091.0
Bottom Cand 44: x=2116, y=1041, w=58, h=48, area=2013.5
Bottom Cand 45: x=2047, y=1041, w=61, h=48, area=2036.5
Bottom Cand 46: x=1979, y=1041, w=60, h=48, area=2033.0
Bottom Cand 47: x=1912, y=1041, w=59, h=48, area=2018.0
Bottom Cand 48: x=1843, y=1041, w=59, h=48, area=2029.0
Bottom Cand 49: x=1775, y=1041, w=59, h=48, area=2009.5
Bottom Cand 50: x=1707, y=1042, w=58, h=48, area=2006.5
Bottom Cand 51: x=1639, y=1042, w=58, h=48, area=2027.5
Bottom Cand 52: x=1571, y=1042, w=58, h=48, area=2022.0
Bottom Cand 53: x=1503, y=1042, w=57, h=48, area=1962.5
Bottom Cand 54: x=1435, y=1042, w=57, h=48, area=2028.0
Bottom Cand 55: x=1366, y=1042, w=57, h=48, area=2029.0
Bottom Cand 56: x=1298, y=1042, w=57, h=48, area=2020.5
Bottom Cand 57: x=1230, y=1042, w=56, h=48, area=2010.0
Bottom Cand 58: x=1163, y=1042, w=55, h=48, area=1998.5
Bottom Cand 59: x=1095, y=1043, w=55, h=47, area=1995.0
Bottom Cand 60: x=2083, y=1098, w=60, h=46, area=1966.5
Bottom Cand 61: x=2017, y=1098, w=58, h=46, area=1948.5
Bottom Cand 62: x=1950, y=1098, w=58, h=46, area=1941.0
Bottom Cand 63: x=1882, y=1098, w=58, h=46, area=1934.5
Bottom Cand 64: x=1815, y=1098, w=58, h=46, area=1940.5
Bottom Cand 65: x=1749, y=1098, w=57, h=46, area=1923.5
Bottom Cand 66: x=1682, y=1098, w=57, h=46, area=1929.0
Bottom Cand 67: x=1615, y=1098, w=57, h=47, area=1946.0
Bottom Cand 68: x=1547, y=1098, w=57, h=47, area=1949.0
Bottom Cand 69: x=1480, y=1098, w=56, h=47, area=1934.0
Bottom Cand 70: x=1413, y=1098, w=56, h=47, area=1946.5
Bottom Cand 71: x=1346, y=1099, w=56, h=46, area=1899.0
Bottom Cand 72: x=1279, y=1099, w=55, h=46, area=1922.5
Bottom Cand 73: x=1212, y=1099, w=55, h=46, area=1925.5
Bottom Cand 74: x=1145, y=1099, w=55, h=46, area=1916.5
Bottom Cand 75: x=1078, y=1099, w=55, h=47, area=1934.0
Bottom Cand 76: x=62, y=1145, w=873, h=163, area=137772.5
Bottom Cand 77: x=2119, y=1153, w=55, h=45, area=1822.0
Bottom Cand 78: x=2053, y=1153, w=58, h=45, area=1881.0
Bottom Cand 79: x=1986, y=1153, w=58, h=45, area=1874.5
Bottom Cand 80: x=1920, y=1153, w=58, h=45, area=1873.0
Bottom Cand 81: x=1855, y=1153, w=57, h=45, area=1859.0
Bottom Cand 82: x=1788, y=1153, w=57, h=45, area=1861.0
Bottom Cand 83: x=1722, y=1153, w=57, h=45, area=1854.0
Bottom Cand 84: x=1657, y=1153, w=55, h=45, area=1800.0
Bottom Cand 85: x=1591, y=1154, w=55, h=45, area=1851.5
Bottom Cand 86: x=1524, y=1154, w=56, h=45, area=1858.5
Bottom Cand 87: x=1458, y=1154, w=55, h=45, area=1849.0
Bottom Cand 88: x=1392, y=1154, w=55, h=45, area=1865.0
Bottom Cand 89: x=1326, y=1154, w=55, h=45, area=1860.5
Bottom Cand 90: x=1259, y=1154, w=55, h=45, area=1849.5
Bottom Cand 91: x=1194, y=1154, w=54, h=45, area=1839.5
Bottom Cand 92: x=1128, y=1154, w=54, h=45, area=1843.0
Bottom Cand 93: x=1062, y=1155, w=54, h=44, area=1833.5
Bottom Cand 94: x=2088, y=1206, w=57, h=45, area=1803.0
Bottom Cand 95: x=2023, y=1206, w=57, h=45, area=1804.0
